Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6
1447533389.379354,0.0,3.0,6.0,5.0,7.0,6.0,5.0
1447533390.46781,0.0,9.0,9.0,9.0,8.0,8.0,9.0
1447533391.556324,0.0,3.0,0.0,0.0,1.0,2.0,4.0
1447533392.660614,0.0,7.0,6.0,3.0,5.0,5.0,6.0
1447533393.749148,0.0,9.0,9.0,10.0,9.0,6.0,9.0
1447533394.837512,0.0,7.0,7.0,8.0,10.0,3.0,6.0
1447533395.94182,0.0,3.0,1.0,2.0,2.0,4.0,3.0
1447533397.030284,0.0,0.0,2.0,2.0,1.0,1.0,0.0
1447533398.134796,0.0,10.0,10.0,10.0,10.0,10.0,10.0
1447533399.22314,0.0,8.0,3.0,10.0,1.0,9.0,9.0
1447533400.34356,0.0,9.0,5.0,0.0,7.0,10.0,10.0
1447533401.447993,0.0,10.0,9.0,8.0,10.0,10.0,10.0
1447533402.552342,0.0,9.0,8.0,9.0,8.0,0.0,8.0
1447533403.640814,0.0,8.0,6.0,8.0,7.0,6.0,6.0
1447533404.729333,0.0,2.0,3.0,2.0,4.0,3.0,1.0
1447533405.833726,0.0,7.0,8.0,8.0,8.0,9.0,7.0
1447533406.922128,0.0,7.0,7.0,9.0,5.0,7.0,8.0
1447533408.010497,0.0,5.0,0.0,2.0,1.0,3.0,5.0
1447533409.114771,0.0,4.0,8.0,4.0,6.0,5.0,5.0
1447533410.203222,0.0,10.0,9.0,9.0,10.0,4.0,8.0
1447533411.291581,0.0,10.0,9.0,9.0,9.0,4.0,10.0
1447533412.396075,0.0,6.0,6.0,7.0,7.0,6.0,4.0
1447533413.484461,0.0,1.0,5.0,3.0,3.0,2.0,1.0
1447533414.588836,0.0,10.0,9.0,10.0,9.0,10.0,9.0
1447533415.693373,0.0,1.0,0.0,1.0,0.0,3.0,3.0
1447533416.813652,0.0,1.0,1.0,0.0,4.0,4.0,3.0
1447533417.902256,0.0,10.0,10.0,10.0,9.0,8.0,10.0
1447533418.990652,0.0,10.0,9.0,8.0,9.0,0.0,9.0
1447533420.094917,0.0,9.0,10.0,9.0,10.0,10.0,9.0
1447533421.183358,0.0,0.0,2.0,4.0,4.0,3.0,1.0
1447533422.28774,0.0,8.0,9.0,9.0,9.0,9.0,7.0
1447533423.3763,0.0,7.0,4.0,7.0,2.0,8.0,6.0
1447533424.464584,0.0,5.0,1.0,2.0,2.0,4.0,4.0
1447533425.568886,0.0,9.0,10.0,6.0,7.0,8.0,10.0
1447533426.65744,0.0,9.0,10.0,10.0,9.0,2.0,10.0
1447533427.761779,0.0,10.0,10.0,10.0,10.0,6.0,10.0
1447533428.850238,0.0,4.0,6.0,7.0,5.0,5.0,5.0
1447533429.938723,0.0,4.0,6.0,3.0,4.0,6.0,2.0
1447533431.059191,0.0,10.0,10.0,10.0,6.0,10.0,9.0
1447533432.163539,0.0,8.0,0.0,5.0,3.0,7.0,6.0
1447533433.267851,0.0,8.0,8.0,2.0,9.0,10.0,8.0
1447533434.356276,0.0,8.0,8.0,7.0,7.0,6.0,9.0
1447533435.444724,0.0,8.0,7.0,9.0,9.0,2.0,8.0
1447533436.549211,0.0,4.0,4.0,2.0,4.0,3.0,6.0
1447533437.637658,0.0,0.0,5.0,6.0,8.0,7.0,0.0
1447533438.741854,0.0,10.0,6.0,10.0,10.0,10.0,8.0
1447533439.83035,0.0,1.0,0.0,2.0,0.0,2.0,2.0
1447533440.918835,0.0,5.0,2.0,0.0,4.0,4.0,6.0
1447533442.0233,0.0,10.0,10.0,8.0,10.0,10.0,10.0
1447533443.111714,0.0,6.0,7.0,6.0,6.0,0.0,7.0
1447533444.215958,0.0,6.0,6.0,7.0,6.0,7.0,6.0
1447533445.304457,0.0,0.0,8.0,7.0,5.0,4.0,3.0
1447533446.392886,0.0,7.0,7.0,8.0,7.0,6.0,4.0
1447533447.513374,0.0,5.0,6.0,5.0,3.0,6.0,8.0
1447533448.617628,0.0,4.0,0.0,2.0,2.0,4.0,3.0
1447533449.706161,0.0,8.0,7.0,4.0,5.0,6.0,5.0
1447533450.810412,0.0,8.0,8.0,7.0,8.0,4.0,8.0
1447533451.89896,0.0,9.0,5.0,6.0,7.0,2.0,7.0
1447533452.987323,0.0,0.0,4.0,4.0,3.0,3.0,1.0
1447533454.091594,0.0,2.0,3.0,2.0,4.0,2.0,0.0
1447533455.180061,0.0,9.0,10.0,10.0,2.0,9.0,10.0
1447533456.284342,0.0,3.0,2.0,4.0,0.0,5.0,3.0
1447533457.372794,0.0,1.0,1.0,0.0,3.0,2.0,6.0
1447533458.461341,0.0,10.0,10.0,10.0,10.0,8.0,10.0
1447533459.56565,0.0,9.0,8.0,10.0,9.0,0.0,10.0
1447533460.65425,0.0,6.0,6.0,5.0,6.0,6.0,5.0
1447533461.758439,0.0,0.0,3.0,4.0,3.0,2.0,1.0
1447533462.862899,0.0,8.0,8.0,7.0,7.0,6.0,4.0
1447533463.967444,0.0,1.0,2.0,1.0,0.0,4.0,2.0
1447533465.071579,0.0,2.0,2.0,0.0,2.0,4.0,0.0
1447533466.16009,0.0,9.0,7.0,5.0,8.0,10.0,10.0
1447533467.264401,0.0,9.0,10.0,10.0,9.0,2.0,9.0
1447533468.352815,0.0,6.0,7.0,7.0,2.0,1.0,5.0
1447533469.441249,0.0,1.0,4.0,2.0,3.0,4.0,6.0
1447533470.545578,0.0,4.0,6.0,4.0,8.0,7.0,0.0
1447533471.634174,0.0,7.0,8.0,8.0,4.0,9.0,6.0
1447533472.722588,0.0,5.0,1.0,5.0,0.0,4.0,5.0
1447533473.826806,0.0,1.0,2.0,1.0,3.0,2.0,2.0
1447533474.915264,0.0,9.0,8.0,8.0,9.0,7.0,7.0
1447533476.00393,0.0,3.0,3.0,4.0,4.0,1.0,2.0
1447533477.108035,0.0,7.0,10.0,10.0,8.0,8.0,9.0
1447533478.196734,0.0,0.0,6.0,7.0,7.0,7.0,3.0
1447533479.316983,0.0,9.0,10.0,10.0,9.0,9.0,5.0
1447533480.421344,0.0,6.0,1.0,3.0,0.0,4.0,6.0
1447533481.509781,0.0,6.0,4.0,1.0,8.0,7.0,6.0
1447533482.614238,0.0,10.0,8.0,7.0,9.0,10.0,10.0
1447533483.702872,0.0,2.0,5.0,3.0,3.0,0.0,2.0
1447533484.790951,0.0,4.0,3.0,7.0,3.0,2.0,3.0
1447533485.895253,0.0,0.0,5.0,4.0,4.0,5.0,3.0
1447533486.983754,0.0,6.0,9.0,10.0,8.0,8.0,0.0
1447533488.088197,0.0,6.0,4.0,4.0,2.0,5.0,3.0
1447533489.17652,0.0,7.0,0.0,3.0,5.0,4.0,6.0
1447533490.26498,0.0,8.0,8.0,3.0,9.0,8.0,9.0
